"ASN","Entity"
"174","COGENT-174 - Cogent Communications, US"
"612","US | PRECISIONTECH - PRECISION TECHNOLOGY Inc,US"
"984","OCTOPUS WEB SOLUTION INC"
"1215","Oracle Corporation"
"1299","Arelion Sweden AB"
"1401","DSW Information Technology LLC. (DBI-CMH1)"
"1442","SureHosting Internet Solutions, Inc."
"2611","BELNET, BE"
"3064","Ntirety, Inc. (AFFINITY-FTL)"
"3214","xTom"
"3223","VOXILITY, RO"
"3396","US | EGG - T G & A"
"3502","US | INTNET"
"3561","CENTURYLINK-LEGACY-SAVVIS - Savvis, US"
"3563","US | PILOT-ASN - Pilot Network Services, Inc,US"
"3700","CLOUD9 - Cloud 9 Internet"
"3722","Tranquil Hosting, Inc."
"3791","US | VCHS-AS - Via Christi Health System, Inc., US"
"3842","RAMNODE - RamNode LLC, US"
"3904","US | ASTHOUGHTPRT - ThoughtPort inc., US"
"4250","ALENT-ASN-1 - Alentus Corporation, US"
"4323","TWTC - tw telecom holdings, inc., US"
"4378","Ntirety, Inc. (HOSTINGCOM)"
"4640","AT | The Internetworking Corporation, Hong Kong"
"4646","SunnyVision Limited"
"4694","IDC Yahoo Japan Corporation, JP"
"4785","xTom"
"4851","Host Networks"
"5041","AS-CLOUDKLEYER - cloudKleyer Canada Corp."
"5521","PS-CLOUD PlusServer GmbH"
"5537","RU-CENTER-AS"
"5541","IL | INVITE Systems SRL"
"5577","ROOT, LU"
"5631","Luminet Data Limited"
"5755","US | QNETIX-AS"
"5784","US | GETNET - Getnet International, US"
"6142","Oracle Corporation"
"6188","VPS Datacenter, LLC"
"6218","US | MIBX - MIBX, Inc., US"
"6364","ATLANTIC-NET-1 - Atlantic.net, Inc., US"
"6428","CDM - CDM, US"
"6461","ZAYO-6461 - Zayo Bandwidth, US"
"6560","ZA | GEM Internet Company (Pty) LTD"
"6603","US | CottonWood CyberVentures"
"6659","NEXINTO-DE PlusServer GmbH"
"6696","VERIXI - VERIXI SA, BE"
"6718","NAV DATACENTER TELECOM SRL"
"6724","STRATO STRATO AG, DE"
"6729","LV | SUNOKMAN-AS, LV"
"6789","CRELCOM-NET CRELCOM LLC"
"6870","H1ASN, RU"
"6939","HURRICANE - Hurricane Electric, Inc., US"
"7052","US | Hi-Tech Services, Inc."
"7097","Ntirety, Inc. (HWSERVICES)"
"7156","BR | AGATE2 - Agate Internet Services, Inc.,US"
"7158","US | NETFEED-AS - NetEx Online Services, US"
"7160","Oracle Corporation"
"7181","TierPoint, LLC"
"7195","EdgeUno"
"7203","LEASEWEB-USA-SFO-12 - Leaseweb USA, Inc., US"
"7215","Ntirety, Inc. (AHNET-AS)"
"7259","US | net.Genesis Corp"
"7289","US | Platinum Internet Group"
"7309","US | The Virtual Marketing Corporation"
"7337","US | Southern NJ Internet Providers"
"7349","Windstream Hosted Solutions, LLC"
"7455","US | MOTO-INT1-AS - Motorists Mutual Insurance Company,US"
"7489","HOSTUS-GLOBAL-AS HostUS, HK"
"7506","INTERQ GMO Internet,Inc, JP"
"7544","US | COMCLARK-IXG ComClark Network & Technology Corp,PH"
"7595","Readyspace Network Pte Ltd, Hosted Solutions Provider,Singapore"
