ip,name,reason
176.40.96.0/21,0x0258deaD,DDoSer
68.116.180.185/32,semiperf,fake racist log spammer / cheeto crew
75.131.148.146/32,semiperf,fake racist log spammer / cheeto crew
24.200.212.144/32,sandstoner,fake racist log spammer / cheeto crew
176.234.72.0/21,Clx,match invader
188.36.32.83,xerlon,match invader / racist
176.77.134.193,xerlon,match invader / racist
79.118.11.221,Darkiecutie,etf2l blacklist
92.39.215.190,саморазвиваюсь,match invader
97.94.176.69,88 street,match invader
24.105.71.185,88 street,match invader
