steam_id64,name,reason
76561198350261670,kilikia,formerly lived in Russia
76561198145156896,Feniari,assumed real player using VPNs
76561198192838927,Dippi,israeli who somehow used a Russian IP once
76561198127347910,mry,exitlag gaming VPN
76561198254497427,Mong,privacy VPN
76561198049741167,Phnx,exitlag gaming VPN
76561198032307527,marineboat,exit lag gaming VPN
76561198101828632,Xqcl,exit lag gaming VPN
76561199365445517,abyss,eixt lag gaming VPN
76561198060185544,cherryrendezvous,exit lag gaming VPN
76561199151508585,Ink (screwb),privacy VPN
76561198313113513,snoodles,gaming VPN
76561198257293163,killua,gaming VPN
76561198144122654,Zeklyn,privacy VPN
76561198101933311,XBX,privacy VPN
76561198064562413,Lemmy,privacy VPN
76561198194941135,Despair,shares ISP with Gremlin
76561198253170562,Shock,shares ISP with Gremlin
76561198378191199,Sori666,shares ISP with Gremlin
76561198360811196,Sun Tzu,shares ISP with Clx
76561198238943688,Flewvar,shares ISP with Clx
76561198167849935,Laggy Lanny,shares IP with Gremlin
76561198210526425,Still,shares IP with Gremlin
76561198124857271,josie,shares ISP with Clx
76561198236109724,Mig-21bis,gaming VPN
76561198847749278,c0dy,gaming VPN
